node_id,latitude,longitude,street_count,n_b_roads,b_roads,junction_type,is_b_b_junction,is_b_any_junction
4192345790,7.133357,79.888564,3,1,B598,B-Other,False,True
1268329299,7.13298,79.888598,2,2,B400;B598,B-B,True,False
11722038127,7.165382,79.883063,3,1,B598,B-Other,False,True
2155584793,7.192615,79.857209,4,1,B245,B-Other,False,True
13236794170,6.832928,79.90631,4,2,B388;B84,B-B,True,True
2155584783,7.200881,79.853413,3,1,B323,B-Other,False,True
1370716561,7.027908,79.915535,2,2,B168;B382,B-B,True,False
2155579905,7.02176,79.899638,4,1,B168,B-Other,False,True
1290251657,7.386902,80.733085,2,2,B205;B257,B-B,True,False
638937223,7.100132,79.991122,3,1,B288,B-Other,False,True
1292992471,7.088871,80.00539,2,2,B20;B288,B-B,True,False
1314754534,7.421072,80.633867,2,2,B180;B462,B-B,True,False
1397090861,5.975656,80.427557,3,2,B466;B646,B-B,True,True
3257848747,6.155122,80.183755,2,2,B128;B248,B-B,True,False
1425700952,6.787945,79.885116,3,1,B295,B-Other,False,True
1886606136,7.247827,80.131607,3,2,B63;B90,B-B,True,True
1985676796,6.253385,80.913274,3,1,B563,B-Other,False,True
6251962524,6.317933,80.998202,5,1,B587,B-Other,False,True
1723290267,6.413476,80.962799,2,2,B427;B549,B-B,True,False
1093751318,6.165816,80.205244,2,2,B153;B248,B-B,True,False
4729747389,6.197948,80.274721,2,2,B320;B454,B-B,True,False
4729747107,6.201583,80.276716,2,2,B303;B454,B-B,True,False
2068144084,6.840819,79.901332,3,1,B94,B-Other,False,True
1261568522,7.321866,79.977256,2,2,B308;B503,B-B,True,False
1474800248,7.272727,79.86449,3,1,B419,B-Other,False,True
2375441056,7.253628,79.854868,3,1,B468,B-Other,False,True
1489265551,6.716797,80.061667,3,1,B157,B-Other,False,True
1146766252,6.48096,80.127096,3,2,B157;B158,B-B,True,True
4904045485,6.522577,80.114357,3,1,B157,B-Other,False,True
1639380623,6.02436,80.600894,2,2,B275;B284,B-B,True,False
376774340,6.05282,80.62985,2,2,B275;B536,B-B,True,False
6542819619,6.082274,80.643741,3,1,B275,B-Other,False,True
13723181260,6.38123,81.314852,3,1,B464,B-Other,False,True
1740265426,6.413536,81.332554,3,2,B202;B464,B-B,True,True
2078784989,6.081875,80.566533,3,2,B415;B536,B-B,True,True
2165130846,6.080147,80.566192,3,2,B3;B415,B-B,True,True
3425048815,6.429813,79.99985,3,1,B157,B-Other,False,True
1138480058,6.261162,80.059544,2,2,B14;B40,B-B,True,False
247987689,6.172492,80.177829,3,2,B128;B153,B-B,True,True
3257914816,6.180465,80.191935,3,2,B153;B320,B-B,True,True
1660133452,6.038711,80.250176,3,1,B594,B-Other,False,True
3081634077,6.02961,80.241913,4,1,B594,B-Other,False,True
1660138837,6.063518,80.261536,3,1,B594,B-Other,False,True
3697145064,5.944612,80.549862,4,1,B524,B-Other,False,True
6260211180,6.881629,79.869769,3,1,B84,B-Other,False,True
9565070865,6.87732,79.869529,3,1,B84,B-Other,False,True
1683151528,6.877311,79.869473,4,1,B84,B-Other,False,True
1685409092,7.246161,81.707588,3,1,B1,B-Other,False,True
1150403426,6.90888,80.08259,4,2,B145;B146,B-B,True,True
1697436973,6.858596,80.091745,3,1,B285,B-Other,False,True
1697582696,6.835725,80.127709,3,2,B240;B285,B-B,True,True
3264925411,6.418516,81.324552,3,1,B202,B-Other,False,True
2018550459,6.438482,81.300994,2,2,B202;B35,B-B,True,False
