u,v,length_m,highway,name,oneway,ref
191799826,6272039662,40.02475381936586,trunk,Ananda Coomaraswamy Mawatha,True,A0
191799826,3164371478,59.109966560918956,secondary_link,,True,
191813176,269351942,522.7423923553478,secondary,"['Inner Flower Road', ""St. Anthony's Mawatha""]",False,
191813176,635795993,219.77669526447,secondary,St. Anthony's Mawatha,True,
191813176,127658568,368.16792594438346,trunk,R. A. de Mel Mawatha,True,
191814043,253022302,13.633733403161282,secondary_link,,False,
191814043,254033158,1391.81684561428,secondary,Kirimandala Mawatha,False,
191814043,621816438,161.2859269690629,trunk,Elvitigala Mawatha,True,AC8
191814403,4513240962,26.642071708532004,secondary,Park Road,False,
191814403,127657445,702.1934969608046,secondary,Park Road,False,
191814403,4513240969,39.31178925570491,secondary_link,Park Road,True,
191816795,269351942,381.9370594635275,trunk,Sir Ernest de Silva Mawatha,False,A4
191816795,9243057496,195.48780522670108,secondary,Cambridge Place,True,
191816795,1316756516,377.91734265933064,secondary,Rajakeeya Mawatha (Race Course Avenue),True,
191849931,2035832247,959.3697632414222,primary,"[""Lady McCallum's Drive"", 'Hill Street']",False,B249
191849931,191850199,139.61849944535132,primary,Old Kandy Road (Old Bazaar Street),True,B331
191850199,2035763052,157.26426421118856,primary,Old Kandy Road (Old Bazaar Street),False,B331
191856851,3090078667,16573.736312264038,primary,"['Eheliyagoda-Dehiowita Road', 'Sudu Palama (White Bridge)']",False,B110
191856851,8169922827,868.0802294017784,trunk,Yatiyantota Road,False,A7
191856851,127659606,5453.6356650867065,trunk,Yatiyantota Road,False,A7
198476911,2035832111,757.7931254502076,primary,Race Course Round Road,False,B331-3
198476911,77684317,102.3906729357845,primary,Race Course Round Road,False,
198476911,3390636008,80.72252903123477,primary,Race Course Round Road,False,B331-3
198485623,3390658487,13068.247846064336,primary,Blackpool-Ambewela Road,False,B512
198485623,3682574805,7923.405969901732,primary,Rendapola-Ambewela Road,False,B507
198485623,10108470176,31063.741653286055,primary,"['Boralande-Ohiya Road', 'Pattipola-Horton Plains Road', 'Ambewela-Pattipola Road', 'Ohiya-Horton Plains Road']",False,"['B512', 'B508']"
