source,target,distance_m,hops
258029156,4963408994,79380.32931625187,60
258029156,9513937138,41539.83865674142,25
258029156,4944055508,41550.07057559106,26
258029156,4944055634,41549.10540955012,26
258029156,4963408992,79369.96360724486,59
258029156,6524681176,109614.14781329091,134
258029156,9628046175,109580.09659424532,133
258029156,7042347623,261561.51649514385,96
258029156,8014319682,106798.8605464577,56
258029156,8032417737,135035.46314090048,68
258029156,8032417743,135047.79176797834,69
258029156,8032417746,135049.94961368918,69
258029156,8032417740,135036.6754656741,68
258029156,9568699375,41540.64339569618,25
258029156,11715824035,194716.43496217,66
44265234,258029156,151161.78618780334,51
44265234,603240642,241.97802826677886,2
44265234,49364356,30340.638852968717,5
44265234,59947552,174797.27535806742,54
44265234,3390634865,83705.09283271608,25
44265234,98554769,142071.8169178757,43
44265234,5693657962,157469.2833206451,72
44265234,310860950,117434.53845918557,37
44265234,8014319683,223987.28337607204,81
44265234,603240427,35602.680143220205,4
44265234,617967952,195709.61467830936,77
44265234,7087535778,195689.71775061166,76
44265234,617968149,178576.27699693482,71
44265234,634172980,344036.739361446,117
44265234,665214512,200659.97867833092,118
44265234,665214513,200587.8116298869,117
44265234,4136824664,431206.64628952893,132
44265234,7599684152,195052.94478926537,65
44265234,6537569534,276413.24067827134,51
44265234,4136824665,431234.9853410397,133
44265234,3174892783,189245.45683563527,80
44265234,1239489717,189252.69123441426,80
44265234,1242694031,278773.5958522133,53
44265234,4139418521,278738.8561236215,52
44265234,2155580115,212847.36943061207,102
44265234,6524681177,199844.2488966106,110
44265234,5217538839,371333.4579705491,120
44265234,7042347620,378793.62424988253,124
44265234,13743364556,160529.97783854426,22
44265234,1684534515,118396.21255457915,25
44265234,11715824040,118400.94424888598,25
44265234,1809805397,32024.57470633927,6
44265234,1728838958,298864.01405665756,114
44265234,7085505934,298843.44297237135,113
44265234,1732642149,316528.1134369839,105
44265234,1886079221,261611.06737955232,96
44265234,1735981103,378774.03430145385,123
44265234,7042347632,378766.3693440165,122
44265234,1740742111,281724.5438978115,81
44265234,1750869639,102648.51577479414,30
44265234,1783974992,94317.70491202465,17
44265234,10016226413,94308.96324140324,16
44265234,1945675344,32045.959303147545,7
44265234,1797964180,158517.06390221432,55
44265234,4959610635,120354.10405466636,20
44265234,1985676681,95180.10450851903,19
44265234,13749558430,261588.03508780018,95
44265234,4212767857,160520.3502406442,22
44265234,3527283166,42124.26248877455,4
44265234,1981147403,195061.10450868602,66
44265234,2011981296,43771.77031576764,8
44265234,5372968715,202012.27972818268,103
44265234,3794035028,177314.0337391559,65
44265234,3849049820,212825.63662378548,103
44265234,2339297860,184857.92415357384,54
44265234,2339297862,184858.0172979697,54
44265234,6289622879,193732.46015364034,64
44265234,3088508709,160351.52886467037,66
44265234,3088508720,160354.75512380034,66
44265234,3136385191,202068.841194913,110
44265234,3237363036,298597.2085478663,110
44265234,3237363045,298602.4533868773,112
44265234,4137095171,298582.9601342549,111
44265234,3474422106,431218.9115707767,133
44265234,4136824662,431220.5295211476,132
44265234,4137349478,259748.66142832677,117
44265234,6537569535,276423.47687404155,51
44265234,4963408994,194691.60276586172,68
44265234,9513937138,191996.5011988974,73
44265234,4944055508,192006.73311774703,74
44265234,4944055634,192005.7679517061,74
44265234,4963408992,194690.44248768254,68
44265234,6524681176,199923.6895640421,112
44265234,9628046175,199889.63834499652,111
44265234,7042347623,378750.009058689,121
44265234,8014319682,223987.353110003,81
44265234,8032417737,252223.95570444578,93
44265234,8032417743,252236.28433152364,94
44265234,8032417746,252238.44217723448,94
44265234,8032417740,252225.1680292194,93
44265234,9568699375,191997.30593785216,73
44265234,11715824035,118404.33652421791,26
603240642,258029156,151097.3296771506,50
603240642,44265234,241.97802826677886,2
603240642,49364356,30276.182342315973,4
603240642,59947552,174871.8874982898,54
603240642,3390634865,83640.63632206332,24
603240642,98554769,142146.4290580981,43
603240642,5693657962,157404.82680999237,71
603240642,310860950,117192.56043091879,35
603240642,8014319683,223922.82686541928,80
603240642,603240427,35360.70211495343,2
603240642,617967952,195645.1581676566,76
603240642,7087535778,195625.2612399589,75
603240642,617968149,178511.82048628206,70
603240642,634172980,343972.2828507932,116
603240642,665214512,200418.00065006415,116
603240642,665214513,200345.83360162014,115
603240642,4136824664,431142.18977887614,131
603240642,7599684152,194988.4882786126,64
603240642,6537569534,276655.21870653814,53
603240642,4136824665,431170.52883038693,132
603240642,3174892783,189181.0003249825,79
603240642,1239489717,189188.2347237615,79
603240642,1242694031,279015.5738804801,55
603240642,4139418521,278980.8341518883,54
603240642,2155580115,212605.3914023453,100
603240642,6524681177,199602.27086834382,108
603240642,5217538839,371269.00145989633,119
603240642,7042347620,378729.16773922974,123
603240642,13743364556,160771.95586681104,24
603240642,1684534515,118638.19058284593,27
